"Age","Sex","Deaths","Population","CR","YearGroup","Mechanism"
12,"Male",56,15278366,0.37,"2001-2007","Firearm"
12,"Female",NA,14552397,NA,"2001-2007","Firearm"
13,"Male",121,15292379,0.79,"2001-2007","Firearm"
13,"Female",26,14562264,0.18,"2001-2007","Firearm"
14,"Male",219,15243369,1.44,"2001-2007","Firearm"
14,"Female",52,14499825,0.36,"2001-2007","Firearm"
15,"Male",390,15311749,2.55,"2001-2007","Firearm"
15,"Female",91,14535499,0.63,"2001-2007","Firearm"
16,"Male",657,15345857,4.28,"2001-2007","Firearm"
16,"Female",105,14505660,0.72,"2001-2007","Firearm"
17,"Male",867,15258639,5.68,"2001-2007","Firearm"
17,"Female",125,14338504,0.87,"2001-2007","Firearm"
18,"Male",1210,15225999,7.95,"2001-2007","Firearm"
18,"Female",97,14297744,0.68,"2001-2007","Firearm"
19,"Male",1503,15202278,9.89,"2001-2007","Firearm"
19,"Female",127,14306181,0.89,"2001-2007","Firearm"
20,"Male",1473,15087514,9.76,"2001-2007","Firearm"
20,"Female",121,14248504,0.85,"2001-2007","Firearm"
21,"Male",1793,15046137,11.92,"2001-2007","Firearm"
21,"Female",170,14284549,1.19,"2001-2007","Firearm"
22,"Male",1738,14825512,11.72,"2001-2007","Firearm"
22,"Female",162,14141719,1.15,"2001-2007","Firearm"
23,"Male",1644,14579129,11.28,"2001-2007","Firearm"
23,"Female",177,14011043,1.26,"2001-2007","Firearm"
24,"Male",1619,14365171,11.27,"2001-2007","Firearm"
24,"Female",168,13923790,1.21,"2001-2007","Firearm"
25,"Male",1526,14136309,10.8,"2001-2007","Firearm"
25,"Female",190,13832897,1.37,"2001-2007","Firearm"
26,"Male",1462,13802069,10.59,"2001-2007","Firearm"
26,"Female",169,13621847,1.24,"2001-2007","Firearm"
27,"Male",1405,13589471,10.34,"2001-2007","Firearm"
27,"Female",171,13460164,1.27,"2001-2007","Firearm"
28,"Male",1404,13399979,10.48,"2001-2007","Firearm"
28,"Female",205,13219942,1.55,"2001-2007","Firearm"
29,"Male",1376,13354867,10.3,"2001-2007","Firearm"
29,"Female",198,13159116,1.51,"2001-2007","Firearm"
30,"Male",1392,13763080,10.11,"2001-2007","Firearm"
30,"Female",221,13540954,1.63,"2001-2007","Firearm"
31,"Male",1410,13832867,10.19,"2001-2007","Firearm"
31,"Female",195,13699986,1.42,"2001-2007","Firearm"
32,"Male",1399,14153704,9.88,"2001-2007","Firearm"
32,"Female",239,14049007,1.7,"2001-2007","Firearm"
33,"Male",1454,14225028,10.22,"2001-2007","Firearm"
33,"Female",238,14156369,1.68,"2001-2007","Firearm"
34,"Male",1479,14372008,10.29,"2001-2007","Firearm"
34,"Female",219,14329222,1.53,"2001-2007","Firearm"
35,"Male",1484,14596865,10.17,"2001-2007","Firearm"
35,"Female",237,14547532,1.63,"2001-2007","Firearm"
36,"Male",1434,14764600,9.71,"2001-2007","Firearm"
36,"Female",260,14775564,1.76,"2001-2007","Firearm"
37,"Male",1586,14846225,10.68,"2001-2007","Firearm"
37,"Female",270,14906835,1.81,"2001-2007","Firearm"
38,"Male",1647,14917932,11.04,"2001-2007","Firearm"
38,"Female",252,15040463,1.68,"2001-2007","Firearm"
39,"Male",1668,15141736,11.02,"2001-2007","Firearm"
39,"Female",386,15291828,2.52,"2001-2007","Firearm"
40,"Male",1769,15370961,11.51,"2001-2007","Firearm"
40,"Female",341,15584153,2.19,"2001-2007","Firearm"
41,"Male",1843,15720628,11.72,"2001-2007","Firearm"
41,"Female",370,15932239,2.32,"2001-2007","Firearm"
42,"Male",1878,15852660,11.85,"2001-2007","Firearm"
42,"Female",338,16097378,2.1,"2001-2007","Firearm"
43,"Male",1933,15856716,12.19,"2001-2007","Firearm"
43,"Female",408,16156753,2.53,"2001-2007","Firearm"
44,"Male",1994,15724774,12.68,"2001-2007","Firearm"
44,"Female",439,16066420,2.73,"2001-2007","Firearm"
45,"Male",1996,15564779,12.82,"2001-2007","Firearm"
45,"Female",424,15945105,2.66,"2001-2007","Firearm"
46,"Male",1983,15501380,12.79,"2001-2007","Firearm"
46,"Female",391,15870720,2.46,"2001-2007","Firearm"
47,"Male",2061,15279018,13.49,"2001-2007","Firearm"
47,"Female",419,15681235,2.67,"2001-2007","Firearm"
48,"Male",2037,14862623,13.71,"2001-2007","Firearm"
48,"Female",392,15337964,2.56,"2001-2007","Firearm"
49,"Male",1969,14565284,13.52,"2001-2007","Firearm"
49,"Female",371,15063489,2.46,"2001-2007","Firearm"
50,"Male",1955,14110555,13.86,"2001-2007","Firearm"
50,"Female",363,14673162,2.47,"2001-2007","Firearm"
51,"Male",1940,13843473,14.01,"2001-2007","Firearm"
51,"Female",354,14400601,2.46,"2001-2007","Firearm"
52,"Male",1912,13444026,14.22,"2001-2007","Firearm"
52,"Female",300,14042246,2.14,"2001-2007","Firearm"
53,"Male",1876,13111244,14.31,"2001-2007","Firearm"
53,"Female",341,13729376,2.48,"2001-2007","Firearm"
54,"Male",1857,12938029,14.35,"2001-2007","Firearm"
54,"Female",330,13585978,2.43,"2001-2007","Firearm"
55,"Male",1674,12246837,13.67,"2001-2007","Firearm"
55,"Female",336,12934953,2.6,"2001-2007","Firearm"
56,"Male",1719,11779893,14.59,"2001-2007","Firearm"
56,"Female",264,12450680,2.12,"2001-2007","Firearm"
57,"Male",1586,11234878,14.12,"2001-2007","Firearm"
57,"Female",286,11918351,2.4,"2001-2007","Firearm"
58,"Male",1621,10763052,15.06,"2001-2007","Firearm"
58,"Female",263,11477511,2.29,"2001-2007","Firearm"
59,"Male",1548,10172225,15.22,"2001-2007","Firearm"
59,"Female",233,10910131,2.14,"2001-2007","Firearm"
60,"Male",1418,9462705,14.99,"2001-2007","Firearm"
60,"Female",243,10226922,2.38,"2001-2007","Firearm"
61,"Male",1353,8806249,15.36,"2001-2007","Firearm"
61,"Female",207,9569147,2.16,"2001-2007","Firearm"
62,"Male",1187,8450687,14.05,"2001-2007","Firearm"
62,"Female",165,9246866,1.78,"2001-2007","Firearm"
63,"Male",1163,8095054,14.37,"2001-2007","Firearm"
63,"Female",212,8917884,2.38,"2001-2007","Firearm"
64,"Male",1148,7659669,14.99,"2001-2007","Firearm"
64,"Female",154,8499124,1.81,"2001-2007","Firearm"
65,"Male",1059,7204022,14.7,"2001-2007","Firearm"
65,"Female",141,8080646,1.75,"2001-2007","Firearm"
66,"Male",1068,6894442,15.49,"2001-2007","Firearm"
66,"Female",133,7797203,1.71,"2001-2007","Firearm"
67,"Male",1088,6602519,16.48,"2001-2007","Firearm"
67,"Female",147,7535374,1.95,"2001-2007","Firearm"
68,"Male",1045,6317351,16.54,"2001-2007","Firearm"
68,"Female",110,7301002,1.51,"2001-2007","Firearm"
69,"Male",1082,6062453,17.85,"2001-2007","Firearm"
69,"Female",111,7111866,1.56,"2001-2007","Firearm"
70,"Male",1029,5803848,17.73,"2001-2007","Firearm"
70,"Female",117,6911982,1.69,"2001-2007","Firearm"
71,"Male",1031,5676321,18.16,"2001-2007","Firearm"
71,"Female",113,6852190,1.65,"2001-2007","Firearm"
72,"Male",1073,5456566,19.66,"2001-2007","Firearm"
72,"Female",82,6707662,1.22,"2001-2007","Firearm"
73,"Male",1137,5260054,21.62,"2001-2007","Firearm"
73,"Female",93,6580626,1.41,"2001-2007","Firearm"
74,"Male",1175,5083554,23.11,"2001-2007","Firearm"
74,"Female",89,6484787,1.37,"2001-2007","Firearm"
75,"Male",1238,4848306,25.54,"2001-2007","Firearm"
75,"Female",93,6338201,1.47,"2001-2007","Firearm"
76,"Male",1184,4676088,25.32,"2001-2007","Firearm"
76,"Female",114,6259416,1.82,"2001-2007","Firearm"
77,"Male",1187,4422049,26.84,"2001-2007","Firearm"
77,"Female",85,6091460,1.4,"2001-2007","Firearm"
78,"Male",1145,4146023,27.62,"2001-2007","Firearm"
78,"Female",74,5874683,1.26,"2001-2007","Firearm"
79,"Male",1094,3875813,28.23,"2001-2007","Firearm"
79,"Female",86,5663996,1.52,"2001-2007","Firearm"
80,"Male",1073,3563912,30.11,"2001-2007","Firearm"
80,"Female",67,5383986,1.24,"2001-2007","Firearm"
81,"Male",1005,3271535,30.72,"2001-2007","Firearm"
81,"Female",71,5124415,1.39,"2001-2007","Firearm"
82,"Male",1008,2927301,34.43,"2001-2007","Firearm"
82,"Female",66,4763663,1.39,"2001-2007","Firearm"
83,"Male",855,2611090,32.75,"2001-2007","Firearm"
83,"Female",57,4397390,1.3,"2001-2007","Firearm"
84,"Male",778,2273367,34.22,"2001-2007","Firearm"
84,"Female",31,3989591,0.78,"2001-2007","Firearm"
12,"Male",140,15278366,0.92,"2001-2007","Non-Firearm"
12,"Female",46,14552397,0.32,"2001-2007","Non-Firearm"
13,"Male",225,15292379,1.47,"2001-2007","Non-Firearm"
13,"Female",115,14562264,0.79,"2001-2007","Non-Firearm"
14,"Male",321,15243369,2.11,"2001-2007","Non-Firearm"
14,"Female",189,14499825,1.3,"2001-2007","Non-Firearm"
15,"Male",474,15311749,3.1,"2001-2007","Non-Firearm"
15,"Female",253,14535499,1.74,"2001-2007","Non-Firearm"
16,"Male",636,15345857,4.14,"2001-2007","Non-Firearm"
16,"Female",283,14505660,1.95,"2001-2007","Non-Firearm"
17,"Male",845,15258639,5.54,"2001-2007","Non-Firearm"
17,"Female",266,14338504,1.86,"2001-2007","Non-Firearm"
18,"Male",1071,15225999,7.03,"2001-2007","Non-Firearm"
18,"Female",299,14297744,2.09,"2001-2007","Non-Firearm"
19,"Male",1325,15202278,8.72,"2001-2007","Non-Firearm"
19,"Female",336,14306181,2.35,"2001-2007","Non-Firearm"
20,"Male",1329,15087514,8.81,"2001-2007","Non-Firearm"
20,"Female",324,14248504,2.27,"2001-2007","Non-Firearm"
21,"Male",1425,15046137,9.47,"2001-2007","Non-Firearm"
21,"Female",363,14284549,2.54,"2001-2007","Non-Firearm"
22,"Male",1402,14825512,9.46,"2001-2007","Non-Firearm"
22,"Female",336,14141719,2.38,"2001-2007","Non-Firearm"
23,"Male",1457,14579129,9.99,"2001-2007","Non-Firearm"
23,"Female",335,14011043,2.39,"2001-2007","Non-Firearm"
24,"Male",1467,14365171,10.21,"2001-2007","Non-Firearm"
24,"Female",363,13923790,2.61,"2001-2007","Non-Firearm"
25,"Male",1423,14136309,10.07,"2001-2007","Non-Firearm"
25,"Female",397,13832897,2.87,"2001-2007","Non-Firearm"
26,"Male",1407,13802069,10.19,"2001-2007","Non-Firearm"
26,"Female",364,13621847,2.67,"2001-2007","Non-Firearm"
27,"Male",1397,13589471,10.28,"2001-2007","Non-Firearm"
27,"Female",407,13460164,3.02,"2001-2007","Non-Firearm"
28,"Male",1363,13399979,10.17,"2001-2007","Non-Firearm"
28,"Female",418,13219942,3.16,"2001-2007","Non-Firearm"
29,"Male",1423,13354867,10.66,"2001-2007","Non-Firearm"
29,"Female",405,13159116,3.08,"2001-2007","Non-Firearm"
30,"Male",1450,13763080,10.54,"2001-2007","Non-Firearm"
30,"Female",433,13540954,3.2,"2001-2007","Non-Firearm"
31,"Male",1535,13832867,11.1,"2001-2007","Non-Firearm"
31,"Female",462,13699986,3.37,"2001-2007","Non-Firearm"
32,"Male",1479,14153704,10.45,"2001-2007","Non-Firearm"
32,"Female",496,14049007,3.53,"2001-2007","Non-Firearm"
33,"Male",1571,14225028,11.04,"2001-2007","Non-Firearm"
33,"Female",492,14156369,3.48,"2001-2007","Non-Firearm"
34,"Male",1677,14372008,11.67,"2001-2007","Non-Firearm"
34,"Female",557,14329222,3.89,"2001-2007","Non-Firearm"
35,"Male",1733,14596865,11.87,"2001-2007","Non-Firearm"
35,"Female",574,14547532,3.95,"2001-2007","Non-Firearm"
36,"Male",1664,14764600,11.27,"2001-2007","Non-Firearm"
36,"Female",609,14775564,4.12,"2001-2007","Non-Firearm"
37,"Male",1787,14846225,12.04,"2001-2007","Non-Firearm"
37,"Female",621,14906835,4.17,"2001-2007","Non-Firearm"
38,"Male",1826,14917932,12.24,"2001-2007","Non-Firearm"
38,"Female",656,15040463,4.36,"2001-2007","Non-Firearm"
39,"Male",1850,15141736,12.22,"2001-2007","Non-Firearm"
39,"Female",709,15291828,4.64,"2001-2007","Non-Firearm"
40,"Male",1958,15370961,12.74,"2001-2007","Non-Firearm"
40,"Female",750,15584153,4.81,"2001-2007","Non-Firearm"
41,"Male",1957,15720628,12.45,"2001-2007","Non-Firearm"
41,"Female",823,15932239,5.17,"2001-2007","Non-Firearm"
42,"Male",1995,15852660,12.59,"2001-2007","Non-Firearm"
42,"Female",828,16097378,5.14,"2001-2007","Non-Firearm"
43,"Male",1946,15856716,12.27,"2001-2007","Non-Firearm"
43,"Female",846,16156753,5.24,"2001-2007","Non-Firearm"
44,"Male",2018,15724774,12.83,"2001-2007","Non-Firearm"
44,"Female",902,16066420,5.61,"2001-2007","Non-Firearm"
45,"Male",1879,15564779,12.07,"2001-2007","Non-Firearm"
45,"Female",875,15945105,5.49,"2001-2007","Non-Firearm"
46,"Male",1902,15501380,12.27,"2001-2007","Non-Firearm"
46,"Female",881,15870720,5.55,"2001-2007","Non-Firearm"
47,"Male",1914,15279018,12.53,"2001-2007","Non-Firearm"
47,"Female",893,15681235,5.7,"2001-2007","Non-Firearm"
48,"Male",1785,14862623,12.01,"2001-2007","Non-Firearm"
48,"Female",880,15337964,5.74,"2001-2007","Non-Firearm"
49,"Male",1726,14565284,11.85,"2001-2007","Non-Firearm"
49,"Female",891,15063489,5.92,"2001-2007","Non-Firearm"
50,"Male",1599,14110555,11.33,"2001-2007","Non-Firearm"
50,"Female",816,14673162,5.56,"2001-2007","Non-Firearm"
51,"Male",1473,13843473,10.64,"2001-2007","Non-Firearm"
51,"Female",817,14400601,5.67,"2001-2007","Non-Firearm"
52,"Male",1482,13444026,11.02,"2001-2007","Non-Firearm"
52,"Female",786,14042246,5.6,"2001-2007","Non-Firearm"
53,"Male",1317,13111244,10.05,"2001-2007","Non-Firearm"
53,"Female",702,13729376,5.11,"2001-2007","Non-Firearm"
54,"Male",1271,12938029,9.82,"2001-2007","Non-Firearm"
54,"Female",672,13585978,4.95,"2001-2007","Non-Firearm"
55,"Male",1185,12246837,9.68,"2001-2007","Non-Firearm"
55,"Female",618,12934953,4.78,"2001-2007","Non-Firearm"
56,"Male",1013,11779893,8.6,"2001-2007","Non-Firearm"
56,"Female",543,12450680,4.36,"2001-2007","Non-Firearm"
57,"Male",950,11234878,8.46,"2001-2007","Non-Firearm"
57,"Female",537,11918351,4.51,"2001-2007","Non-Firearm"
58,"Male",921,10763052,8.56,"2001-2007","Non-Firearm"
58,"Female",493,11477511,4.3,"2001-2007","Non-Firearm"
59,"Male",798,10172225,7.85,"2001-2007","Non-Firearm"
59,"Female",477,10910131,4.37,"2001-2007","Non-Firearm"
60,"Male",735,9462705,7.77,"2001-2007","Non-Firearm"
60,"Female",424,10226922,4.15,"2001-2007","Non-Firearm"
61,"Male",594,8806249,6.75,"2001-2007","Non-Firearm"
61,"Female",340,9569147,3.55,"2001-2007","Non-Firearm"
62,"Male",528,8450687,6.25,"2001-2007","Non-Firearm"
62,"Female",317,9246866,3.43,"2001-2007","Non-Firearm"
63,"Male",448,8095054,5.53,"2001-2007","Non-Firearm"
63,"Female",269,8917884,3.02,"2001-2007","Non-Firearm"
64,"Male",425,7659669,5.55,"2001-2007","Non-Firearm"
64,"Female",256,8499124,3.01,"2001-2007","Non-Firearm"
65,"Male",394,7204022,5.47,"2001-2007","Non-Firearm"
65,"Female",222,8080646,2.75,"2001-2007","Non-Firearm"
66,"Male",360,6894442,5.22,"2001-2007","Non-Firearm"
66,"Female",196,7797203,2.51,"2001-2007","Non-Firearm"
67,"Male",315,6602519,4.77,"2001-2007","Non-Firearm"
67,"Female",188,7535374,2.5,"2001-2007","Non-Firearm"
68,"Male",317,6317351,5.02,"2001-2007","Non-Firearm"
68,"Female",169,7301002,2.32,"2001-2007","Non-Firearm"
69,"Male",304,6062453,5.01,"2001-2007","Non-Firearm"
69,"Female",144,7111866,2.03,"2001-2007","Non-Firearm"
70,"Male",281,5803848,4.84,"2001-2007","Non-Firearm"
70,"Female",161,6911982,2.33,"2001-2007","Non-Firearm"
71,"Male",280,5676321,4.93,"2001-2007","Non-Firearm"
71,"Female",166,6852190,2.42,"2001-2007","Non-Firearm"
72,"Male",281,5456566,5.15,"2001-2007","Non-Firearm"
72,"Female",169,6707662,2.52,"2001-2007","Non-Firearm"
73,"Male",286,5260054,5.44,"2001-2007","Non-Firearm"
73,"Female",145,6580626,2.2,"2001-2007","Non-Firearm"
74,"Male",254,5083554,5,"2001-2007","Non-Firearm"
74,"Female",126,6484787,1.94,"2001-2007","Non-Firearm"
75,"Male",254,4848306,5.24,"2001-2007","Non-Firearm"
75,"Female",160,6338201,2.52,"2001-2007","Non-Firearm"
76,"Male",259,4676088,5.54,"2001-2007","Non-Firearm"
76,"Female",170,6259416,2.72,"2001-2007","Non-Firearm"
77,"Male",237,4422049,5.36,"2001-2007","Non-Firearm"
77,"Female",138,6091460,2.27,"2001-2007","Non-Firearm"
78,"Male",251,4146023,6.05,"2001-2007","Non-Firearm"
78,"Female",157,5874683,2.67,"2001-2007","Non-Firearm"
79,"Male",241,3875813,6.22,"2001-2007","Non-Firearm"
79,"Female",128,5663996,2.26,"2001-2007","Non-Firearm"
80,"Male",228,3563912,6.4,"2001-2007","Non-Firearm"
80,"Female",143,5383986,2.66,"2001-2007","Non-Firearm"
81,"Male",248,3271535,7.58,"2001-2007","Non-Firearm"
81,"Female",131,5124415,2.56,"2001-2007","Non-Firearm"
82,"Male",232,2927301,7.93,"2001-2007","Non-Firearm"
82,"Female",139,4763663,2.92,"2001-2007","Non-Firearm"
83,"Male",205,2611090,7.85,"2001-2007","Non-Firearm"
83,"Female",139,4397390,3.16,"2001-2007","Non-Firearm"
84,"Male",205,2273367,9.02,"2001-2007","Non-Firearm"
84,"Female",104,3989591,2.61,"2001-2007","Non-Firearm"
12,"Male",75,14787575,0.51,"2008-2014","Firearm"
12,"Female",NA,14149656,NA,"2008-2014","Firearm"
13,"Male",175,14896737,1.18,"2008-2014","Firearm"
13,"Female",41,14235929,0.29,"2008-2014","Firearm"
14,"Male",306,14943371,2.05,"2008-2014","Firearm"
14,"Female",59,14254903,0.41,"2008-2014","Firearm"
15,"Male",485,15075757,3.22,"2008-2014","Firearm"
15,"Female",86,14361488,0.6,"2008-2014","Firearm"
16,"Male",698,15294888,4.56,"2008-2014","Firearm"
16,"Female",115,14546262,0.79,"2008-2014","Firearm"
17,"Male",859,15537658,5.53,"2008-2014","Firearm"
17,"Female",118,14726424,0.8,"2008-2014","Firearm"
18,"Male",1178,15860442,7.43,"2008-2014","Firearm"
18,"Female",101,15040706,0.67,"2008-2014","Firearm"
19,"Male",1335,16042825,8.32,"2008-2014","Firearm"
19,"Female",138,15238395,0.91,"2008-2014","Firearm"
20,"Male",1386,16001818,8.66,"2008-2014","Firearm"
20,"Female",158,15221609,1.04,"2008-2014","Firearm"
21,"Male",1755,15973123,10.99,"2008-2014","Firearm"
21,"Female",210,15227582,1.38,"2008-2014","Firearm"
22,"Male",1906,15870035,12.01,"2008-2014","Firearm"
22,"Female",225,15157077,1.48,"2008-2014","Firearm"
23,"Male",1917,15715670,12.2,"2008-2014","Firearm"
23,"Female",203,15063451,1.35,"2008-2014","Firearm"
24,"Male",1809,15497015,11.67,"2008-2014","Firearm"
24,"Female",251,14905241,1.68,"2008-2014","Firearm"
25,"Male",1803,15323880,11.77,"2008-2014","Firearm"
25,"Female",237,14808484,1.6,"2008-2014","Firearm"
26,"Male",1765,15131651,11.66,"2008-2014","Firearm"
26,"Female",221,14736178,1.5,"2008-2014","Firearm"
27,"Male",1642,15095415,10.88,"2008-2014","Firearm"
27,"Female",269,14840739,1.81,"2008-2014","Firearm"
28,"Male",1646,15027557,10.95,"2008-2014","Firearm"
28,"Female",254,14826649,1.71,"2008-2014","Firearm"
29,"Male",1611,14845608,10.85,"2008-2014","Firearm"
29,"Female",269,14677331,1.83,"2008-2014","Firearm"
30,"Male",1527,14802910,10.32,"2008-2014","Firearm"
30,"Female",253,14613733,1.73,"2008-2014","Firearm"
31,"Male",1545,14478076,10.67,"2008-2014","Firearm"
31,"Female",293,14386329,2.04,"2008-2014","Firearm"
32,"Male",1455,14365015,10.13,"2008-2014","Firearm"
32,"Female",255,14308012,1.78,"2008-2014","Firearm"
33,"Male",1513,14140911,10.7,"2008-2014","Firearm"
33,"Female",255,14115763,1.81,"2008-2014","Firearm"
34,"Male",1490,13953390,10.68,"2008-2014","Firearm"
34,"Female",258,13954633,1.85,"2008-2014","Firearm"
35,"Male",1507,13766489,10.95,"2008-2014","Firearm"
35,"Female",268,13790316,1.94,"2008-2014","Firearm"
36,"Male",1478,13730920,10.76,"2008-2014","Firearm"
36,"Female",288,13814558,2.09,"2008-2014","Firearm"
37,"Male",1649,13884445,11.88,"2008-2014","Firearm"
37,"Female",272,14014975,1.94,"2008-2014","Firearm"
38,"Male",1674,14114209,11.86,"2008-2014","Firearm"
38,"Female",307,14246003,2.16,"2008-2014","Firearm"
39,"Male",1653,14287995,11.57,"2008-2014","Firearm"
39,"Female",294,14422840,2.04,"2008-2014","Firearm"
40,"Male",1625,14295467,11.37,"2008-2014","Firearm"
40,"Female",353,14456026,2.44,"2008-2014","Firearm"
41,"Male",1761,14403228,12.23,"2008-2014","Firearm"
41,"Female",382,14584654,2.62,"2008-2014","Firearm"
42,"Male",1775,14570203,12.18,"2008-2014","Firearm"
42,"Female",327,14739505,2.22,"2008-2014","Firearm"
43,"Male",1814,14780803,12.27,"2008-2014","Firearm"
43,"Female",396,14962806,2.65,"2008-2014","Firearm"
44,"Male",1923,14834316,12.96,"2008-2014","Firearm"
44,"Female",386,15047743,2.57,"2008-2014","Firearm"
45,"Male",1975,14854368,13.3,"2008-2014","Firearm"
45,"Female",403,15133954,2.66,"2008-2014","Firearm"
46,"Male",2079,15001731,13.86,"2008-2014","Firearm"
46,"Female",401,15314778,2.62,"2008-2014","Firearm"
47,"Male",2139,15251362,14.03,"2008-2014","Firearm"
47,"Female",522,15610147,3.34,"2008-2014","Firearm"
48,"Male",2293,15489883,14.8,"2008-2014","Firearm"
48,"Female",506,15889191,3.19,"2008-2014","Firearm"
49,"Male",2311,15633885,14.78,"2008-2014","Firearm"
49,"Female",455,16082612,2.83,"2008-2014","Firearm"
50,"Male",2401,15569557,15.42,"2008-2014","Firearm"
50,"Female",514,16083812,3.2,"2008-2014","Firearm"
51,"Male",2464,15521618,15.88,"2008-2014","Firearm"
51,"Female",525,16077137,3.27,"2008-2014","Firearm"
52,"Male",2535,15339427,16.53,"2008-2014","Firearm"
52,"Female",488,15954345,3.06,"2008-2014","Firearm"
53,"Male",2544,15179481,16.76,"2008-2014","Firearm"
53,"Female",513,15815820,3.24,"2008-2014","Firearm"
54,"Male",2545,14950865,17.02,"2008-2014","Firearm"
54,"Female",473,15642467,3.02,"2008-2014","Firearm"
55,"Male",2428,14482734,16.77,"2008-2014","Firearm"
55,"Female",444,15273294,2.91,"2008-2014","Firearm"
56,"Male",2458,14129436,17.4,"2008-2014","Firearm"
56,"Female",444,14955708,2.97,"2008-2014","Firearm"
57,"Male",2279,13717540,16.61,"2008-2014","Firearm"
57,"Female",404,14591602,2.77,"2008-2014","Firearm"
58,"Male",2318,13322070,17.4,"2008-2014","Firearm"
58,"Female",360,14232572,2.53,"2008-2014","Firearm"
59,"Male",2216,12880705,17.2,"2008-2014","Firearm"
59,"Female",355,13828367,2.57,"2008-2014","Firearm"
60,"Male",2118,12422689,17.05,"2008-2014","Firearm"
60,"Female",350,13409791,2.61,"2008-2014","Firearm"
61,"Male",2090,12234150,17.08,"2008-2014","Firearm"
61,"Female",287,13229866,2.17,"2008-2014","Firearm"
62,"Male",1751,11654564,15.02,"2008-2014","Firearm"
62,"Female",272,12659703,2.15,"2008-2014","Firearm"
63,"Male",1768,10984765,16.1,"2008-2014","Firearm"
63,"Female",272,11987069,2.27,"2008-2014","Firearm"
64,"Male",1766,10477775,16.86,"2008-2014","Firearm"
64,"Female",277,11481410,2.41,"2008-2014","Firearm"
65,"Male",1618,10027174,16.14,"2008-2014","Firearm"
65,"Female",234,11065275,2.12,"2008-2014","Firearm"
66,"Male",1603,9443198,16.98,"2008-2014","Firearm"
66,"Female",228,10486432,2.17,"2008-2014","Firearm"
67,"Male",1437,8755921,16.41,"2008-2014","Firearm"
67,"Female",185,9804509,1.89,"2008-2014","Firearm"
68,"Male",1468,7986396,18.38,"2008-2014","Firearm"
68,"Female",169,9040243,1.87,"2008-2014","Firearm"
69,"Male",1412,7587876,18.61,"2008-2014","Firearm"
69,"Female",191,8672914,2.2,"2008-2014","Firearm"
70,"Male",1429,7147991,19.99,"2008-2014","Firearm"
70,"Female",156,8257595,1.89,"2008-2014","Firearm"
71,"Male",1300,6733978,19.31,"2008-2014","Firearm"
71,"Female",160,7858096,2.04,"2008-2014","Firearm"
72,"Male",1267,6212397,20.4,"2008-2014","Firearm"
72,"Female",127,7348359,1.73,"2008-2014","Firearm"
73,"Male",1337,5855163,22.84,"2008-2014","Firearm"
73,"Female",104,7022125,1.48,"2008-2014","Firearm"
74,"Male",1217,5494926,22.15,"2008-2014","Firearm"
74,"Female",103,6681922,1.54,"2008-2014","Firearm"
75,"Male",1199,5136072,23.35,"2008-2014","Firearm"
75,"Female",103,6352262,1.62,"2008-2014","Firearm"
76,"Male",1158,4854183,23.86,"2008-2014","Firearm"
76,"Female",101,6116936,1.65,"2008-2014","Firearm"
77,"Male",1124,4562740,24.63,"2008-2014","Firearm"
77,"Female",79,5872145,1.35,"2008-2014","Firearm"
78,"Male",1107,4321472,25.62,"2008-2014","Firearm"
78,"Female",77,5686677,1.35,"2008-2014","Firearm"
79,"Male",1136,4058516,27.99,"2008-2014","Firearm"
79,"Female",76,5479853,1.39,"2008-2014","Firearm"
80,"Male",1083,3766953,28.75,"2008-2014","Firearm"
80,"Female",79,5224413,1.51,"2008-2014","Firearm"
81,"Male",1113,3537625,31.46,"2008-2014","Firearm"
81,"Female",80,5059927,1.58,"2008-2014","Firearm"
82,"Male",1022,3259498,31.36,"2008-2014","Firearm"
