"Age","Sex","Deaths","Population","CR","YearGroup","Mechanism"
82,"Female",67,4830467,1.39,"2008-2014","Firearm"
83,"Male",1014,2990102,33.91,"2008-2014","Firearm"
83,"Female",62,4595069,1.35,"2008-2014","Firearm"
84,"Male",946,2695602,35.09,"2008-2014","Firearm"
84,"Female",56,4317681,1.3,"2008-2014","Firearm"
12,"Male",148,14787575,1,"2008-2014","Non-Firearm"
12,"Female",93,14149656,0.66,"2008-2014","Non-Firearm"
13,"Male",227,14896737,1.52,"2008-2014","Non-Firearm"
13,"Female",183,14235929,1.29,"2008-2014","Non-Firearm"
14,"Male",360,14943371,2.41,"2008-2014","Non-Firearm"
14,"Female",260,14254903,1.82,"2008-2014","Non-Firearm"
15,"Male",519,15075757,3.44,"2008-2014","Non-Firearm"
15,"Female",390,14361488,2.72,"2008-2014","Non-Firearm"
16,"Male",711,15294888,4.65,"2008-2014","Non-Firearm"
16,"Female",423,14546262,2.91,"2008-2014","Non-Firearm"
17,"Male",983,15537658,6.33,"2008-2014","Non-Firearm"
17,"Female",375,14726424,2.55,"2008-2014","Non-Firearm"
18,"Male",1216,15860442,7.67,"2008-2014","Non-Firearm"
18,"Female",417,15040706,2.77,"2008-2014","Non-Firearm"
19,"Male",1509,16042825,9.41,"2008-2014","Non-Firearm"
19,"Female",445,15238395,2.92,"2008-2014","Non-Firearm"
20,"Male",1683,16001818,10.52,"2008-2014","Non-Firearm"
20,"Female",489,15221609,3.21,"2008-2014","Non-Firearm"
21,"Male",1692,15973123,10.59,"2008-2014","Non-Firearm"
21,"Female",490,15227582,3.22,"2008-2014","Non-Firearm"
22,"Male",1775,15870035,11.19,"2008-2014","Non-Firearm"
22,"Female",523,15157077,3.45,"2008-2014","Non-Firearm"
23,"Male",1709,15715670,10.87,"2008-2014","Non-Firearm"
23,"Female",491,15063451,3.26,"2008-2014","Non-Firearm"
24,"Male",1681,15497015,10.85,"2008-2014","Non-Firearm"
24,"Female",477,14905241,3.2,"2008-2014","Non-Firearm"
25,"Male",1675,15323880,10.93,"2008-2014","Non-Firearm"
25,"Female",500,14808484,3.38,"2008-2014","Non-Firearm"
26,"Male",1797,15131651,11.88,"2008-2014","Non-Firearm"
26,"Female",546,14736178,3.71,"2008-2014","Non-Firearm"
27,"Male",1711,15095415,11.34,"2008-2014","Non-Firearm"
27,"Female",542,14840739,3.65,"2008-2014","Non-Firearm"
28,"Male",1798,15027557,11.97,"2008-2014","Non-Firearm"
28,"Female",577,14826649,3.89,"2008-2014","Non-Firearm"
29,"Male",1794,14845608,12.08,"2008-2014","Non-Firearm"
29,"Female",582,14677331,3.97,"2008-2014","Non-Firearm"
30,"Male",1731,14802910,11.69,"2008-2014","Non-Firearm"
30,"Female",598,14613733,4.09,"2008-2014","Non-Firearm"
31,"Male",1784,14478076,12.32,"2008-2014","Non-Firearm"
31,"Female",563,14386329,3.91,"2008-2014","Non-Firearm"
32,"Male",1706,14365015,11.88,"2008-2014","Non-Firearm"
32,"Female",583,14308012,4.08,"2008-2014","Non-Firearm"
33,"Male",1665,14140911,11.77,"2008-2014","Non-Firearm"
33,"Female",589,14115763,4.17,"2008-2014","Non-Firearm"
34,"Male",1687,13953390,12.09,"2008-2014","Non-Firearm"
34,"Female",604,13954633,4.33,"2008-2014","Non-Firearm"
35,"Male",1652,13766489,12,"2008-2014","Non-Firearm"
35,"Female",655,13790316,4.75,"2008-2014","Non-Firearm"
36,"Male",1734,13730920,12.63,"2008-2014","Non-Firearm"
36,"Female",637,13814558,4.61,"2008-2014","Non-Firearm"
37,"Male",1756,13884445,12.65,"2008-2014","Non-Firearm"
37,"Female",662,14014975,4.72,"2008-2014","Non-Firearm"
38,"Male",1700,14114209,12.05,"2008-2014","Non-Firearm"
38,"Female",702,14246003,4.93,"2008-2014","Non-Firearm"
39,"Male",1936,14287995,13.55,"2008-2014","Non-Firearm"
39,"Female",795,14422840,5.51,"2008-2014","Non-Firearm"
40,"Male",1878,14295467,13.14,"2008-2014","Non-Firearm"
40,"Female",779,14456026,5.39,"2008-2014","Non-Firearm"
41,"Male",1921,14403228,13.34,"2008-2014","Non-Firearm"
41,"Female",832,14584654,5.71,"2008-2014","Non-Firearm"
42,"Male",2090,14570203,14.34,"2008-2014","Non-Firearm"
42,"Female",831,14739505,5.64,"2008-2014","Non-Firearm"
43,"Male",1985,14780803,13.43,"2008-2014","Non-Firearm"
43,"Female",926,14962806,6.19,"2008-2014","Non-Firearm"
44,"Male",2065,14834316,13.92,"2008-2014","Non-Firearm"
44,"Female",906,15047743,6.02,"2008-2014","Non-Firearm"
45,"Male",2102,14854368,14.15,"2008-2014","Non-Firearm"
45,"Female",986,15133954,6.52,"2008-2014","Non-Firearm"
46,"Male",2268,15001731,15.12,"2008-2014","Non-Firearm"
46,"Female",988,15314778,6.45,"2008-2014","Non-Firearm"
47,"Male",2194,15251362,14.39,"2008-2014","Non-Firearm"
47,"Female",957,15610147,6.13,"2008-2014","Non-Firearm"
48,"Male",2263,15489883,14.61,"2008-2014","Non-Firearm"
48,"Female",1054,15889191,6.63,"2008-2014","Non-Firearm"
49,"Male",2418,15633885,15.47,"2008-2014","Non-Firearm"
49,"Female",1122,16082612,6.98,"2008-2014","Non-Firearm"
50,"Male",2314,15569557,14.86,"2008-2014","Non-Firearm"
50,"Female",1101,16083812,6.85,"2008-2014","Non-Firearm"
51,"Male",2339,15521618,15.07,"2008-2014","Non-Firearm"
51,"Female",1063,16077137,6.61,"2008-2014","Non-Firearm"
52,"Male",2193,15339427,14.3,"2008-2014","Non-Firearm"
52,"Female",1137,15954345,7.13,"2008-2014","Non-Firearm"
53,"Male",2071,15179481,13.64,"2008-2014","Non-Firearm"
53,"Female",1043,15815820,6.6,"2008-2014","Non-Firearm"
54,"Male",2035,14950865,13.61,"2008-2014","Non-Firearm"
54,"Female",1065,15642467,6.81,"2008-2014","Non-Firearm"
55,"Male",1973,14482734,13.62,"2008-2014","Non-Firearm"
55,"Female",1044,15273294,6.84,"2008-2014","Non-Firearm"
56,"Male",1875,14129436,13.27,"2008-2014","Non-Firearm"
56,"Female",979,14955708,6.55,"2008-2014","Non-Firearm"
57,"Male",1691,13717540,12.33,"2008-2014","Non-Firearm"
57,"Female",891,14591602,6.11,"2008-2014","Non-Firearm"
58,"Male",1615,13322070,12.12,"2008-2014","Non-Firearm"
58,"Female",777,14232572,5.46,"2008-2014","Non-Firearm"
59,"Male",1465,12880705,11.37,"2008-2014","Non-Firearm"
59,"Female",807,13828367,5.84,"2008-2014","Non-Firearm"
60,"Male",1409,12422689,11.34,"2008-2014","Non-Firearm"
60,"Female",720,13409791,5.37,"2008-2014","Non-Firearm"
61,"Male",1145,12234150,9.36,"2008-2014","Non-Firearm"
61,"Female",666,13229866,5.03,"2008-2014","Non-Firearm"
62,"Male",982,11654564,8.43,"2008-2014","Non-Firearm"
62,"Female",519,12659703,4.1,"2008-2014","Non-Firearm"
63,"Male",859,10984765,7.82,"2008-2014","Non-Firearm"
63,"Female",485,11987069,4.05,"2008-2014","Non-Firearm"
64,"Male",777,10477775,7.42,"2008-2014","Non-Firearm"
64,"Female",445,11481410,3.88,"2008-2014","Non-Firearm"
65,"Male",728,10027174,7.26,"2008-2014","Non-Firearm"
65,"Female",425,11065275,3.84,"2008-2014","Non-Firearm"
66,"Male",636,9443198,6.74,"2008-2014","Non-Firearm"
66,"Female",387,10486432,3.69,"2008-2014","Non-Firearm"
67,"Male",575,8755921,6.57,"2008-2014","Non-Firearm"
67,"Female",361,9804509,3.68,"2008-2014","Non-Firearm"
68,"Male",508,7986396,6.36,"2008-2014","Non-Firearm"
68,"Female",317,9040243,3.51,"2008-2014","Non-Firearm"
69,"Male",421,7587876,5.55,"2008-2014","Non-Firearm"
69,"Female",249,8672914,2.87,"2008-2014","Non-Firearm"
70,"Male",399,7147991,5.58,"2008-2014","Non-Firearm"
70,"Female",239,8257595,2.89,"2008-2014","Non-Firearm"
71,"Male",401,6733978,5.96,"2008-2014","Non-Firearm"
71,"Female",211,7858096,2.69,"2008-2014","Non-Firearm"
72,"Male",339,6212397,5.46,"2008-2014","Non-Firearm"
72,"Female",202,7348359,2.75,"2008-2014","Non-Firearm"
73,"Male",338,5855163,5.77,"2008-2014","Non-Firearm"
73,"Female",200,7022125,2.85,"2008-2014","Non-Firearm"
74,"Male",304,5494926,5.53,"2008-2014","Non-Firearm"
74,"Female",157,6681922,2.35,"2008-2014","Non-Firearm"
75,"Male",288,5136072,5.61,"2008-2014","Non-Firearm"
75,"Female",166,6352262,2.61,"2008-2014","Non-Firearm"
76,"Male",269,4854183,5.54,"2008-2014","Non-Firearm"
76,"Female",142,6116936,2.32,"2008-2014","Non-Firearm"
77,"Male",247,4562740,5.41,"2008-2014","Non-Firearm"
77,"Female",148,5872145,2.52,"2008-2014","Non-Firearm"
78,"Male",231,4321472,5.35,"2008-2014","Non-Firearm"
78,"Female",130,5686677,2.29,"2008-2014","Non-Firearm"
79,"Male",232,4058516,5.72,"2008-2014","Non-Firearm"
79,"Female",142,5479853,2.59,"2008-2014","Non-Firearm"
80,"Male",244,3766953,6.48,"2008-2014","Non-Firearm"
80,"Female",115,5224413,2.2,"2008-2014","Non-Firearm"
81,"Male",213,3537625,6.02,"2008-2014","Non-Firearm"
81,"Female",120,5059927,2.37,"2008-2014","Non-Firearm"
82,"Male",244,3259498,7.49,"2008-2014","Non-Firearm"
82,"Female",122,4830467,2.53,"2008-2014","Non-Firearm"
83,"Male",201,2990102,6.72,"2008-2014","Non-Firearm"
83,"Female",104,4595069,2.26,"2008-2014","Non-Firearm"
84,"Male",178,2695602,6.6,"2008-2014","Non-Firearm"
84,"Female",106,4317681,2.46,"2008-2014","Non-Firearm"
12,"Male",153,17142380,0.89,"2015-2022","Firearm"
12,"Female",45,16396568,0.27,"2015-2022","Firearm"
13,"Male",329,17220886,1.91,"2015-2022","Firearm"
13,"Female",91,16475942,0.55,"2015-2022","Firearm"
14,"Male",627,17288121,3.63,"2015-2022","Firearm"
14,"Female",136,16545705,0.82,"2015-2022","Firearm"
15,"Male",914,17300749,5.28,"2015-2022","Firearm"
15,"Female",163,16554179,0.99,"2015-2022","Firearm"
16,"Male",1164,17299669,6.73,"2015-2022","Firearm"
16,"Female",194,16545661,1.17,"2015-2022","Firearm"
17,"Male",1401,17352098,8.07,"2015-2022","Firearm"
17,"Female",207,16577395,1.25,"2015-2022","Firearm"
18,"Male",1724,17507192,9.85,"2015-2022","Firearm"
18,"Female",228,16740789,1.36,"2015-2022","Firearm"
19,"Male",2107,17754611,11.87,"2015-2022","Firearm"
19,"Female",233,16987029,1.37,"2015-2022","Firearm"
20,"Male",2137,17997999,11.87,"2015-2022","Firearm"
20,"Female",247,17211838,1.44,"2015-2022","Firearm"
21,"Male",2981,18177217,16.4,"2015-2022","Firearm"
21,"Female",324,17331350,1.87,"2015-2022","Firearm"
22,"Male",2953,18211942,16.22,"2015-2022","Firearm"
22,"Female",366,17301582,2.12,"2015-2022","Firearm"
23,"Male",2950,18290306,16.13,"2015-2022","Firearm"
23,"Female",366,17349991,2.11,"2015-2022","Firearm"
24,"Male",2890,18459721,15.66,"2015-2022","Firearm"
24,"Female",358,17534498,2.04,"2015-2022","Firearm"
25,"Male",2771,18634391,14.87,"2015-2022","Firearm"
25,"Female",438,17757330,2.47,"2015-2022","Firearm"
26,"Male",2729,18732071,14.57,"2015-2022","Firearm"
26,"Female",359,17911451,2,"2015-2022","Firearm"
27,"Male",2677,18761111,14.27,"2015-2022","Firearm"
27,"Female",396,18018648,2.2,"2015-2022","Firearm"
28,"Male",2493,18703915,13.33,"2015-2022","Firearm"
28,"Female",381,18038812,2.11,"2015-2022","Firearm"
29,"Male",2490,18607804,13.38,"2015-2022","Firearm"
29,"Female",446,18004482,2.48,"2015-2022","Firearm"
30,"Male",2513,18502407,13.58,"2015-2022","Firearm"
30,"Female",413,17963832,2.3,"2015-2022","Firearm"
31,"Male",2373,18302397,12.97,"2015-2022","Firearm"
31,"Female",426,17825531,2.39,"2015-2022","Firearm"
32,"Male",2441,18116850,13.47,"2015-2022","Firearm"
32,"Female",423,17693294,2.39,"2015-2022","Firearm"
33,"Male",2337,17934346,13.03,"2015-2022","Firearm"
33,"Female",423,17563227,2.41,"2015-2022","Firearm"
34,"Male",2263,17788701,12.72,"2015-2022","Firearm"
34,"Female",370,17473545,2.12,"2015-2022","Firearm"
35,"Male",2220,17719637,12.53,"2015-2022","Firearm"
35,"Female",407,17431670,2.34,"2015-2022","Firearm"
36,"Male",2221,17552541,12.65,"2015-2022","Firearm"
36,"Female",458,17308724,2.65,"2015-2022","Firearm"
37,"Male",2265,17342916,13.06,"2015-2022","Firearm"
37,"Female",426,17142894,2.49,"2015-2022","Firearm"
38,"Male",2221,17113786,12.98,"2015-2022","Firearm"
38,"Female",412,16958988,2.43,"2015-2022","Firearm"
39,"Male",2230,16874226,13.22,"2015-2022","Firearm"
39,"Female",419,16750622,2.5,"2015-2022","Firearm"
40,"Male",2144,16605732,12.91,"2015-2022","Firearm"
40,"Female",437,16524119,2.65,"2015-2022","Firearm"
41,"Male",2153,16321971,13.19,"2015-2022","Firearm"
41,"Female",425,16289011,2.61,"2015-2022","Firearm"
42,"Male",2081,16089100,12.93,"2015-2022","Firearm"
42,"Female",435,16112079,2.7,"2015-2022","Firearm"
43,"Male",2165,15954063,13.57,"2015-2022","Firearm"
43,"Female",437,16021878,2.73,"2015-2022","Firearm"
44,"Male",2193,16019541,13.69,"2015-2022","Firearm"
44,"Female",427,16124162,2.65,"2015-2022","Firearm"
45,"Male",2243,16125584,13.91,"2015-2022","Firearm"
45,"Female",465,16255916,2.86,"2015-2022","Firearm"
46,"Male",2282,16173236,14.11,"2015-2022","Firearm"
46,"Female",484,16314685,2.97,"2015-2022","Firearm"
47,"Male",2281,16244284,14.04,"2015-2022","Firearm"
47,"Female",505,16394212,3.08,"2015-2022","Firearm"
48,"Male",2397,16297892,14.71,"2015-2022","Firearm"
48,"Female",478,16464696,2.9,"2015-2022","Firearm"
49,"Male",2323,16443022,14.13,"2015-2022","Firearm"
49,"Female",552,16606551,3.32,"2015-2022","Firearm"
50,"Male",2516,16613222,15.15,"2015-2022","Firearm"
50,"Female",516,16795617,3.07,"2015-2022","Firearm"
51,"Male",2558,16746214,15.28,"2015-2022","Firearm"
51,"Female",563,16976986,3.32,"2015-2022","Firearm"
52,"Male",2623,16741525,15.67,"2015-2022","Firearm"
52,"Female",555,17046542,3.26,"2015-2022","Firearm"
53,"Male",2716,16763846,16.2,"2015-2022","Firearm"
53,"Female",604,17152303,3.52,"2015-2022","Firearm"
54,"Male",2795,16878202,16.56,"2015-2022","Firearm"
54,"Female",612,17360641,3.53,"2015-2022","Firearm"
55,"Male",2864,17009706,16.84,"2015-2022","Firearm"
55,"Female",543,17586635,3.09,"2015-2022","Firearm"
56,"Male",2834,17074162,16.6,"2015-2022","Firearm"
56,"Female",575,17733809,3.24,"2015-2022","Firearm"
57,"Male",3052,17095141,17.85,"2015-2022","Firearm"
57,"Female",557,17843937,3.12,"2015-2022","Firearm"
58,"Male",2950,17027936,17.32,"2015-2022","Firearm"
58,"Female",596,17857754,3.34,"2015-2022","Firearm"
59,"Male",2996,16801970,17.83,"2015-2022","Firearm"
59,"Female",540,17711708,3.05,"2015-2022","Firearm"
60,"Male",2852,16497452,17.29,"2015-2022","Firearm"
60,"Female",491,17492742,2.81,"2015-2022","Firearm"
61,"Male",2923,16130841,18.12,"2015-2022","Firearm"
61,"Female",506,17222845,2.94,"2015-2022","Firearm"
62,"Male",2606,15694325,16.61,"2015-2022","Firearm"
62,"Female",423,16874683,2.51,"2015-2022","Firearm"
63,"Male",2563,15212613,16.85,"2015-2022","Firearm"
63,"Female",425,16475474,2.58,"2015-2022","Firearm"
64,"Male",2468,14697690,16.79,"2015-2022","Firearm"
64,"Female",445,16044774,2.77,"2015-2022","Firearm"
65,"Male",2401,14140668,16.98,"2015-2022","Firearm"
65,"Female",358,15559147,2.3,"2015-2022","Firearm"
66,"Male",2277,13595233,16.75,"2015-2022","Firearm"
66,"Female",346,15068284,2.3,"2015-2022","Firearm"
67,"Male",2331,13128543,17.76,"2015-2022","Firearm"
67,"Female",320,14641057,2.19,"2015-2022","Firearm"
68,"Male",2309,12780195,18.07,"2015-2022","Firearm"
68,"Female",335,14333920,2.34,"2015-2022","Firearm"
69,"Male",2297,12036494,19.08,"2015-2022","Firearm"
69,"Female",307,13591800,2.26,"2015-2022","Firearm"
70,"Male",2248,11319183,19.86,"2015-2022","Firearm"
70,"Female",258,12881422,2,"2015-2022","Firearm"
71,"Male",2103,10650322,19.75,"2015-2022","Firearm"
71,"Female",252,12223224,2.06,"2015-2022","Firearm"
72,"Male",2063,10078957,20.47,"2015-2022","Firearm"
72,"Female",240,11659399,2.06,"2015-2022","Firearm"
73,"Male",2174,9457523,22.99,"2015-2022","Firearm"
73,"Female",235,11015831,2.13,"2015-2022","Firearm"
74,"Male",2067,8733281,23.67,"2015-2022","Firearm"
74,"Female",219,10292166,2.13,"2015-2022","Firearm"
75,"Male",2145,7972386,26.91,"2015-2022","Firearm"
75,"Female",183,9526894,1.92,"2015-2022","Firearm"
76,"Male",1912,7108177,26.9,"2015-2022","Firearm"
76,"Female",182,8646414,2.11,"2015-2022","Firearm"
77,"Male",1860,6617943,28.11,"2015-2022","Firearm"
77,"Female",167,8170518,2.04,"2015-2022","Firearm"
78,"Male",1819,6106800,29.79,"2015-2022","Firearm"
78,"Female",138,7665736,1.8,"2015-2022","Firearm"
79,"Male",1747,5592922,31.24,"2015-2022","Firearm"
79,"Female",121,7151472,1.69,"2015-2022","Firearm"
80,"Male",1622,5037857,32.2,"2015-2022","Firearm"
80,"Female",110,6588940,1.67,"2015-2022","Firearm"
81,"Male",1485,4555978,32.6,"2015-2022","Firearm"
81,"Female",95,6104635,1.56,"2015-2022","Firearm"
82,"Male",1424,4132721,34.46,"2015-2022","Firearm"
82,"Female",78,5685681,1.37,"2015-2022","Firearm"
83,"Male",1345,3740757,35.96,"2015-2022","Firearm"
83,"Female",83,5295634,1.57,"2015-2022","Firearm"
84,"Male",1244,3365918,36.96,"2015-2022","Firearm"
84,"Female",60,4921087,1.22,"2015-2022","Firearm"
12,"Male",231,17142380,1.35,"2015-2022","Non-Firearm"
12,"Female",257,16396568,1.57,"2015-2022","Non-Firearm"
13,"Male",387,17220886,2.25,"2015-2022","Non-Firearm"
13,"Female",397,16475942,2.41,"2015-2022","Non-Firearm"
14,"Male",594,17288121,3.44,"2015-2022","Non-Firearm"
14,"Female",476,16545705,2.88,"2015-2022","Non-Firearm"
15,"Male",826,17300749,4.77,"2015-2022","Non-Firearm"
15,"Female",583,16554179,3.52,"2015-2022","Non-Firearm"
16,"Male",1029,17299669,5.95,"2015-2022","Non-Firearm"
16,"Female",671,16545661,4.06,"2015-2022","Non-Firearm"
17,"Male",1201,17352098,6.92,"2015-2022","Non-Firearm"
17,"Female",628,16577395,3.79,"2015-2022","Non-Firearm"
18,"Male",1519,17507192,8.68,"2015-2022","Non-Firearm"
18,"Female",657,16740789,3.93,"2015-2022","Non-Firearm"
19,"Male",1868,17754611,10.52,"2015-2022","Non-Firearm"
19,"Female",689,16987029,4.06,"2015-2022","Non-Firearm"
20,"Male",2023,17997999,11.24,"2015-2022","Non-Firearm"
20,"Female",704,17211838,4.09,"2015-2022","Non-Firearm"
21,"Male",2136,18177217,11.75,"2015-2022","Non-Firearm"
21,"Female",757,17331350,4.37,"2015-2022","Non-Firearm"
22,"Male",2226,18211942,12.22,"2015-2022","Non-Firearm"
22,"Female",757,17301582,4.38,"2015-2022","Non-Firearm"
23,"Male",2242,18290306,12.26,"2015-2022","Non-Firearm"
23,"Female",750,17349991,4.32,"2015-2022","Non-Firearm"
24,"Male",2340,18459721,12.68,"2015-2022","Non-Firearm"
24,"Female",748,17534498,4.27,"2015-2022","Non-Firearm"
25,"Male",2484,18634391,13.33,"2015-2022","Non-Firearm"
25,"Female",766,17757330,4.31,"2015-2022","Non-Firearm"
26,"Male",2513,18732071,13.42,"2015-2022","Non-Firearm"
26,"Female",807,17911451,4.51,"2015-2022","Non-Firearm"
27,"Male",2584,18761111,13.77,"2015-2022","Non-Firearm"
27,"Female",749,18018648,4.16,"2015-2022","Non-Firearm"
28,"Male",2633,18703915,14.08,"2015-2022","Non-Firearm"
28,"Female",897,18038812,4.97,"2015-2022","Non-Firearm"
29,"Male",2684,18607804,14.42,"2015-2022","Non-Firearm"
29,"Female",845,18004482,4.69,"2015-2022","Non-Firearm"
30,"Male",2715,18502407,14.67,"2015-2022","Non-Firearm"
30,"Female",872,17963832,4.85,"2015-2022","Non-Firearm"
31,"Male",2828,18302397,15.45,"2015-2022","Non-Firearm"
31,"Female",936,17825531,5.25,"2015-2022","Non-Firearm"
32,"Male",2703,18116850,14.92,"2015-2022","Non-Firearm"
32,"Female",952,17693294,5.38,"2015-2022","Non-Firearm"
33,"Male",2762,17934346,15.4,"2015-2022","Non-Firearm"
33,"Female",885,17563227,5.04,"2015-2022","Non-Firearm"
34,"Male",2661,17788701,14.96,"2015-2022","Non-Firearm"
34,"Female",881,17473545,5.04,"2015-2022","Non-Firearm"
35,"Male",2690,17719637,15.18,"2015-2022","Non-Firearm"
35,"Female",892,17431670,5.12,"2015-2022","Non-Firearm"
36,"Male",2672,17552541,15.22,"2015-2022","Non-Firearm"
36,"Female",938,17308724,5.42,"2015-2022","Non-Firearm"
37,"Male",2472,17342916,14.25,"2015-2022","Non-Firearm"
37,"Female",992,17142894,5.79,"2015-2022","Non-Firearm"
38,"Male",2459,17113786,14.37,"2015-2022","Non-Firearm"
38,"Female",920,16958988,5.43,"2015-2022","Non-Firearm"
39,"Male",2482,16874226,14.71,"2015-2022","Non-Firearm"
39,"Female",895,16750622,5.34,"2015-2022","Non-Firearm"
40,"Male",2409,16605732,14.51,"2015-2022","Non-Firearm"
40,"Female",939,16524119,5.68,"2015-2022","Non-Firearm"
41,"Male",2348,16321971,14.39,"2015-2022","Non-Firearm"
41,"Female",891,16289011,5.47,"2015-2022","Non-Firearm"
42,"Male",2263,16089100,14.07,"2015-2022","Non-Firearm"
42,"Female",902,16112079,5.6,"2015-2022","Non-Firearm"
43,"Male",2202,15954063,13.8,"2015-2022","Non-Firearm"
43,"Female",944,16021878,5.89,"2015-2022","Non-Firearm"
44,"Male",2239,16019541,13.98,"2015-2022","Non-Firearm"
44,"Female",983,16124162,6.1,"2015-2022","Non-Firearm"
45,"Male",2267,16125584,14.06,"2015-2022","Non-Firearm"
45,"Female",973,16255916,5.99,"2015-2022","Non-Firearm"
46,"Male",2334,16173236,14.43,"2015-2022","Non-Firearm"
46,"Female",1069,16314685,6.55,"2015-2022","Non-Firearm"
47,"Male",2350,16244284,14.47,"2015-2022","Non-Firearm"
47,"Female",1022,16394212,6.23,"2015-2022","Non-Firearm"
48,"Male",2324,16297892,14.26,"2015-2022","Non-Firearm"
48,"Female",1122,16464696,6.82,"2015-2022","Non-Firearm"
49,"Male",2398,16443022,14.58,"2015-2022","Non-Firearm"
49,"Female",1082,16606551,6.52,"2015-2022","Non-Firearm"
50,"Male",2240,16613222,13.48,"2015-2022","Non-Firearm"
50,"Female",1073,16795617,6.39,"2015-2022","Non-Firearm"
51,"Male",2322,16746214,13.87,"2015-2022","Non-Firearm"
51,"Female",1124,16976986,6.62,"2015-2022","Non-Firearm"
52,"Male",2420,16741525,14.46,"2015-2022","Non-Firearm"
52,"Female",1237,17046542,7.26,"2015-2022","Non-Firearm"
53,"Male",2362,16763846,14.09,"2015-2022","Non-Firearm"
53,"Female",1182,17152303,6.89,"2015-2022","Non-Firearm"
54,"Male",2370,16878202,14.04,"2015-2022","Non-Firearm"
54,"Female",1198,17360641,6.9,"2015-2022","Non-Firearm"
55,"Male",2256,17009706,13.26,"2015-2022","Non-Firearm"
55,"Female",1178,17586635,6.7,"2015-2022","Non-Firearm"
56,"Male",2323,17074162,13.61,"2015-2022","Non-Firearm"
56,"Female",1191,17733809,6.72,"2015-2022","Non-Firearm"
57,"Male",2325,17095141,13.6,"2015-2022","Non-Firearm"
57,"Female",1124,17843937,6.3,"2015-2022","Non-Firearm"
58,"Male",2180,17027936,12.8,"2015-2022","Non-Firearm"
58,"Female",1150,17857754,6.44,"2015-2022","Non-Firearm"
59,"Male",2045,16801970,12.17,"2015-2022","Non-Firearm"
59,"Female",1005,17711708,5.67,"2015-2022","Non-Firearm"
60,"Male",1952,16497452,11.83,"2015-2022","Non-Firearm"
60,"Female",1006,17492742,5.75,"2015-2022","Non-Firearm"
61,"Male",1816,16130841,11.26,"2015-2022","Non-Firearm"
61,"Female",927,17222845,5.38,"2015-2022","Non-Firearm"
62,"Male",1718,15694325,10.95,"2015-2022","Non-Firearm"
62,"Female",844,16874683,5,"2015-2022","Non-Firearm"
63,"Male",1373,15212613,9.03,"2015-2022","Non-Firearm"
63,"Female",811,16475474,4.92,"2015-2022","Non-Firearm"
64,"Male",1351,14697690,9.19,"2015-2022","Non-Firearm"
64,"Female",765,16044774,4.77,"2015-2022","Non-Firearm"
65,"Male",1223,14140668,8.65,"2015-2022","Non-Firearm"
65,"Female",677,15559147,4.35,"2015-2022","Non-Firearm"
66,"Male",1117,13595233,8.22,"2015-2022","Non-Firearm"
66,"Female",609,15068284,4.04,"2015-2022","Non-Firearm"
67,"Male",1018,13128543,7.75,"2015-2022","Non-Firearm"
67,"Female",606,14641057,4.14,"2015-2022","Non-Firearm"
68,"Male",928,12780195,7.26,"2015-2022","Non-Firearm"
68,"Female",563,14333920,3.93,"2015-2022","Non-Firearm"
69,"Male",828,12036494,6.88,"2015-2022","Non-Firearm"
69,"Female",533,13591800,3.92,"2015-2022","Non-Firearm"
70,"Male",754,11319183,6.66,"2015-2022","Non-Firearm"
70,"Female",481,12881422,3.73,"2015-2022","Non-Firearm"
71,"Male",658,10650322,6.18,"2015-2022","Non-Firearm"
71,"Female",430,12223224,3.52,"2015-2022","Non-Firearm"
72,"Male",655,10078957,6.5,"2015-2022","Non-Firearm"
72,"Female",371,11659399,3.18,"2015-2022","Non-Firearm"
73,"Male",573,9457523,6.06,"2015-2022","Non-Firearm"
73,"Female",340,11015831,3.09,"2015-2022","Non-Firearm"
74,"Male",497,8733281,5.69,"2015-2022","Non-Firearm"
74,"Female",320,10292166,3.11,"2015-2022","Non-Firearm"
